Name,Date,Frequency,Flux Density,Uncertainty,Upper Limit,Source Paper,Instrument,"EMERLIN, VLBA, EVN make note",Explosion Date,Date Source,Distance (Mpc),Distance Uncertainty,Distance Source
1993J,49103,8.33,18580,932,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49103,15,47200,3594,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49103,15,46000,4600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49104,5,3180,178,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49104,8.33,19730,991,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49104,25,51260,5272,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49105,5,3630,195,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49105,8.33,20550,1031,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49105,15,51450,3883,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49105,15,49800,4980,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49105,15,50400,5040,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49105,25,55380,5598,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49106,5,4110,238,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49106,8.33,21930,1103,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49106,25,45010,4528,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49106,15,48100,4810,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49107,99.4,17000,3500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49107,99.4,20000,4000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49107,15,56600,5660,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49107,32,59100,16800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Bonn,,,,,,
1993J,49108,1.5,660,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49108,5,5820,299,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49108,5,6290,327,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49108,8.33,26000,1302,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49108,8.33,29630,1484,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49108,15,61090,4585,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49108,25,52810,5288,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49108,25,55780,5639,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49109,5,6000,310,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49109,8.33,30310,1518,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49109,15,55950,4205,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49109,15,60400,6040,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49110,15,60400,6040,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49111,5,8060,406,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49111,8.33,33320,1668,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49111,15,67320,5066,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49111,25,62900,6327,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49111,15,65400,6540,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49112,15,63100,6310,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49113,15,65700,6570,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49114,5,10510,529,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49114,8.33,37070,1854,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49114,15,67330,5074,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49114,25,53640,5396,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA-B,,,,,,
1993J,49114,15,65700,6570,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49116,15,64000,6400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49117,99.4,23000,4800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49117,32,65800,17800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Bonn,,,,,,
1993J,49118,5,15550,785,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49118,8.33,52100,2611,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49118,25,46700,4691,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49118,15,69900,5249,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49118,32,64800,17700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Bonn,,,,,,
1993J,49119,15,70400,7040,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49120,15,70900,7090,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49121,5,18170,915,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49121,8.33,59030,2960,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49121,15,77150,5805,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49121,25,61070,6169,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49121,15,73500,7350,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49123,1.5,1903,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49123,5,22100,1110,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49123,15,71000,7100,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49124,8.33,61910,3099,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49124,8.33,63000,3200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49124,25,54610,5470,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49124,15,74400,5582,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49124,15,70200,7020,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49124,32,62000,19500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Bonn,,,,,,
1993J,49126,15,71400,7140,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49127,1.5,1045,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49127,5,25819,1298,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49127,8.33,63900,3201,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49127,15,72698,5474,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49127,25,54749,5502,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49128,15,72000,7200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49129,15,72600,7260,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49130,15,73700,7370,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49131,15,76700,7670,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49131,32,63900,17500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Bonn,,,,,,
1993J,49132,1.5,613,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49132,5,34560,1734,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49132,8.33,77920,3898,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49132,15,79480,5979,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49132,25,67480,6810,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49132,15,71200,7120,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49132,32,67700,24200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Bonn,,,,,,
1993J,49133,15,74100,7410,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49137,5,40000,2007,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49137,99.4,19000,3800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49137,8.33,81500,4080,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49137,25,53000,5342,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49137,15,76200,5726,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49139,15,77200,7720,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49140,99.4,22000,4500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49140,15,77900,7790,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49141,15,75900,7590,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49142,1.5,1035,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49142,5,43970,2220,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49142,25,47200,4759,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49142,15,65593,4960,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,49144,15,76900,7690,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49145,15,76400,7640,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49147,15,78200,7820,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49148,15,78000,7800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49149,1.5,650,103,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49149,5,56330,2820,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49149,8.33,90740,4538,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49149,25,51140,5157,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49149,15,77270,5808,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49151,15,72900,7290,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49156,1.5,1220,141,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49156,99.4,14000,2800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",OVRO,,,,,,
1993J,49156,5,70740,3572,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49156,8.33,108980,5472,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49156,15,74920,5641,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
