name,x,alt
"BUCK, Kenneth Robert",0.731,-0.454
"CROW, Jason",-0.279,0.384
"NEGUSE, Joseph",-0.433,-0.407
"DeGETTE, Diana",-0.431,-0.308
"COURTNEY, Joe",-0.344,0.016
"HIMES, James A.",-0.242,-0.236
"HAYES, Jahana",-0.365,-0.094
"DeLAURO, Rosa L.",-0.415,-0.116
"LARSON, John B.",-0.397,-0.05
"BLUNT ROCHESTER, Lisa",-0.334,-0.135
"DIAZ-BALART, Mario",0.281,0.126
"WASSERMAN SCHULTZ, Debbie",-0.42,0.071
"CASTOR, Kathy",-0.439,0.047
"BUCHANAN, Vernon G.",0.36,-0.122
"BILIRAKIS, Gus",0.405,0.026
"POSEY, Bill",0.525,-0.329
"DEUTCH, Theodore E. (Ted)",-0.4,-0.086
"WEBSTER, Daniel A.",0.51,-0.051
"WILSON, Frederica",-0.478,-0.019
"YOHO, Ted",0.704,-0.365
"FRANKEL, Lois",-0.4,-0.081
"CRIST, Charlie Joseph Jr.",-0.225,0.058
"DEMINGS, Valdez Butler",-0.338,-0.057
"DUNN, Neal Patrick",0.528,0.273
"GAETZ, Matthew L. II",0.625,-0.615
"LAWSON, Alfred Jr.",-0.259,0.068
"MAST, Brian Jeffery",0.442,-0.338
"MURPHY, Stephanie",-0.16,0.094
"ROONEY, Francis",0.501,-0.494
"RUTHERFORD, John Henry",0.415,0.101
"SOTO, Darren Michael",-0.379,0.134
"MUCARSEL-POWELL, Debbie",-0.345,0.332
"SHALALA, Donna",-0.352,0.021
"SPANO, Ross",0.462,0.009
"STEUBE, William",0.676,-0.333
"WALTZ, Michael",0.417,-0.09
"HASTINGS, Alcee Lamar",-0.564,0.157
"LEWIS, John R.",-0.589,-0.221
"SCOTT, David",-0.302,0.163
"JOHNSON, Hank",-0.468,0.01
"GRAVES, Tom",0.716,-0.002
"WOODALL, Rob",0.593,-0.173
"SCOTT, Austin",0.566,0.203
"COLLINS, Doug",0.61,0.134
"CARTER, Buddy",0.584,0.275
"HICE, Jody Brownlow",0.793,-0.156
"LOUDERMILK, Barry D.",0.693,-0.003
"ALLEN, Rick W.",0.691,0.302
"FERGUSON, Anderson Drew IV",0.601,0.133
"McBATH, Lucy",-0.265,0.396
"BISHOP, Sanford Dixon, Jr.",-0.283,0.462
"CASE, Ed",-0.196,-0.107
"GABBARD, Tulsi",-0.274,-0.282
"FULCHER, Russell",0.637,0.017
"SIMPSON, Michael K.",0.297,0.288
"LIPINSKI, Daniel",-0.227,0.176
"FOSTER, Bill",-0.23,-0.226
"QUIGLEY, Mike",-0.322,-0.272
"KINZINGER, Adam",0.265,0.316
"SCHNEIDER, Brad",-0.178,-0.173
"DAVIS, Rodney",0.271,0.179
"BUSTOS, Cheri",-0.238,0.046
"KELLY, Robin L.",-0.46,-0.008
"BOST, Mike",0.272,0.474
"LaHOOD, Darin",0.464,0.188
"KRISHNAMOORTHI, S. Raja",-0.317,-0.109
"CASTEN, Sean",-0.4,0.151
"GARCÍA, Jesús",-0.446,-0.792
"UNDERWOOD, Lauren",-0.552,0.642
"RUSH, Bobby L.",-0.479,-0.204
"DAVIS, Danny K.",-0.486,-0.263
"SHIMKUS, John M.",0.375,0.154
"SCHAKOWSKY, Janice D.",-0.606,-0.271
"VISCLOSKY, Peter",-0.402,0.244
"CARSON, André",-0.431,0.056
"BUCSHON, Larry",0.409,0.26
"WALORSKI, Jackie",0.427,0.331
"BROOKS, Susan",0.352,0.217
"BANKS, James E.",0.64,0.011
"HOLLINGSWORTH, Joseph Albert III",0.415,-0.244
"BAIRD, James",0.438,0.621
"PENCE, Gregory",0.486,0.283
"KING, Steve",0.613,0.171
"LOEBSACK, Dave",-0.276,-0.027
"AXNE, Cynthia",-0.241,0.549
"FINKENAUER, Abby",-0.224,0.501
"MARSHALL, Roger Wayne",0.552,0.119
"ESTES, Ron",0.618,0.051
"DAVIDS, Sharice",-0.253,0.23
"WATKINS, Steve",0.549,0.079
"ROGERS, Harold Dallas (Hal)",0.338,0.115
"YARMUTH, John",-0.378,-0.269
"GUTHRIE, Brett",0.42,0.276
"BARR, Garland H. (Andy) IV",0.487,0.306
"COMER, James",0.599,-0.014
"MASSIE, Thomas",0.679,-0.734
"SCALISE, Steve",0.558,0.161
"RICHMOND, Cedric",-0.486,0.332
"ABRAHAM, Ralph",0.541,0.257
"GRAVES, Garret",0.456,-0.036
"HIGGINS, Clay",0.583,-0.151
"JOHNSON, Mike",0.562,-0.033
"PINGREE, Chellie",-0.42,-0.39
"GOLDEN, Jared",-0.113,0.326
"HOYER, Steny Hamilton",-0.38,0.118
"MFUME, Kweisi",-0.448,-0.43
"RUPPERSBERGER, C. A. (Dutch)",-0.295,0.131
"SARBANES, John",-0.467,-0.071
"HARRIS, Andy",0.663,-0.378
"BROWN, Anthony Gregory",-0.337,-0.093
"RASKIN, Jamie Ben",-0.543,-0.264
"TRONE, David",-0.277,0.037
"CUMMINGS, Elijah Eugene",-0.438,-0.148
"NEAL, Richard Edmund",-0.417,-0.108
"LYNCH, Stephen F.",-0.35,0.04
"KEATING, William R.",-0.328,-0.125
"KENNEDY, Joseph P. III",-0.421,-0.206
"CLARK, Katherine M.",-0.484,-0.374
"MOULTON, Seth",-0.284,-0.068
"PRESSLEY, Ayanna",-0.307,-0.952
"TRAHAN, Lori",-0.464,-0.134
"McGOVERN, James P.",-0.539,-0.305
"UPTON, Frederick Stephen",0.33,-0.376
"WALBERG, Tim",0.514,0.085
"HUIZENGA, Bill",0.574,-0.073
"AMASH, Justin",0.654,-0.757
"KILDEE, Dan",-0.395,-0.226
"MOOLENAAR, John",0.397,0.416
"DINGELL, Debbie",-0.408,-0.14
"LAWRENCE, Brenda L",-0.448,-0.028
"BERGMAN, John",0.438,0.086
"MITCHELL, Paul",0.422,0.311
"LEVIN, Andy",-0.523,-0.53
"SLOTKIN, Elissa",-0.306,0.768
"STEVENS, Haley",-0.33,0.375
"TLAIB, Rashida",-0.252,-0.968
"AMASH, Justin",0.359,-0.933
"McCOLLUM, Betty",-0.417,-0.184
"EMMER, Thomas Earl II",0.452,-0.052
"CRAIG, Angela",-0.315,0.714
"HAGEDORN, Jim",0.47,0.347
"OMAR, Ilhan",-0.282,-0.959
"PHILLIPS, Dean",-0.254,0.148
"STAUBER, Peter",0.302,0.117
"PETERSON, Collin Clark",-0.148,0.712
"PALAZZO, Steven",0.532,0.504
"KELLY, Trent",0.637,0.248
"GUEST, Michael",0.509,0.182
"THOMPSON, Bennie",-0.516,0.4
"GRAVES, Samuel",0.444,0.182
"CLAY, William Lacy, Jr.",-0.481,-0.078
"CLEAVER, Emanuel, II",-0.453,0.016
"LUETKEMEYER, Blaine",0.44,0.268
"HARTZLER, Vicky",0.463,0.304
"LONG, Billy",0.546,0.231
"WAGNER, Ann",0.433,0.144
"SMITH, Jason",0.597,0.167
"GIANFORTE, Greg",0.431,0.085
"FORTENBERRY, Jeff",0.302,-0.061
"SMITH, Adrian",0.517,0.193
"BACON, Donald J.",0.38,-0.085
"TITUS, Alice (Dina)",-0.303,-0.216
"AMODEI, Mark E.",0.38,0.19
"HORSFORD, Steven",-0.351,0.112
"LEE, Susie",-0.296,0.453
"KUSTER, Ann McLane",-0.256,-0.119
"PAPPAS, Chris",-0.287,0.357
"SMITH, Christopher Henry",0.166,-0.167
"PALLONE, Frank, Jr.",-0.404,-0.167
"SIRES, Albio",-0.403,0.096
"NORCROSS, Donald",-0.425,0.328
"WATSON COLEMAN, Bonnie",-0.626,-0.142
"GOTTHEIMER, Josh S.",-0.148,0.236
"KIM, Andy",-0.285,0.408
"MALINOWSKI, Tomaz",-0.274,0.164
"SHERRILL, Mikie",-0.197,0.282
"VAN DREW, Jefferson",-0.147,0.644
"PASCRELL, William J., Jr.",-0.366,-0.006
"PAYNE, Donald, Jr.",-0.518,-0.101
"VAN DREW, Jefferson",0.213,-0.219
"LUJÁN, Ben Ray",-0.368,0.017
"HAALAND, Debra",-0.332,-0.233
"TORRES SMALL, Xochitl",-0.163,0.314
"ENGEL, Eliot Lance",-0.408,-0.093
"LOWEY, Nita M.",-0.389,-0.152
"HIGGINS, Brian",-0.347,-0.032
"CLARKE, Yvette Diane",-0.614,-0.216
"TONKO, Paul",-0.42,-0.266
"REED, Thomas W. II",0.273,0.11
"MENG, Grace",-0.376,-0.195
"JEFFRIES, Hakeem",-0.489,-0.092
"MALONEY, Sean Patrick",-0.238,0.115
"COLLINS, Chris",0.357,0.236
"ZELDIN, Lee M",0.396,-0.144
"RICE, Kathleen Maura",-0.287,0.035
"STEFANIK, Elise M",0.239,-0.004
"KATKO, John",0.195,-0.002
"ESPAILLAT, Adriano J.",-0.617,-0.223
"SUOZZI, Thomas",-0.215,0.085
"MORELLE, Joseph D.",-0.338,0.12
"BRINDISI, Anthony",-0.154,0.567
"DELGADO, Antonio",-0.23,0.263
"OCASIO-CORTEZ, Alexandria",-0.24,-0.971
"ROSE, Max",-0.176,0.269
"JACOBS, Chris",0.331,0.092
"SERRANO, José E.",-0.491,-0.377
"KING, Peter T.",0.259,-0.03
"NADLER, Jerrold Lewis",-0.509,-0.501
"VELÁZQUEZ, Nydia M.",-0.547,-0.342
"MALONEY, Carolyn Bosher",-0.387,-0.282
"MEEKS, Gregory W.",-0.414,-0.074
"PRICE, David Eugene",-0.343,-0.031
"BUTTERFIELD, George Kenneth, Jr. (G.K.)",-0.403,0.183
"FOXX, Virginia Ann",0.629,0.133
"McHENRY, Patrick T.",0.546,0.087
"HUDSON, Richard",0.568,0.102
"MEADOWS, Mark",0.605,-0.201
"HOLDING, George E.B.",0.604,0.165
"WALKER, Bradley Mark",0.641,0.017
"ROUZER, David",0.573,0.135
"ADAMS, Alma",-0.465,0.027
"BUDD, Theodore Paul",0.681,-0.147
"BISHOP, Dan",0.779,-0.113
"MURPHY, Gregory Francis",0.489,-0.056
"JONES, Walter Beaman, Jr.",0.244,-0.362
"ARMSTRONG, Kelly",0.483,-0.022
"KAPTUR, Marcia Carolyn (Marcy)",-0.35,0.109
"TURNER, Michael R.",0.275,0.213
"RYAN, Timothy J.",-0.402,0.21
"JORDAN, Jim",0.718,-0.212
"LATTA, Robert E.",0.516,0.267
"FUDGE, Marcia L.",-0.581,0.14
"JOHNSON, Bill",0.428,0.274
"STIVERS, Steve",0.3,0.269
"GIBBS, Bob",0.477,0.306
"WENSTRUP, Brad",0.544,0.19
"BEATTY, Joyce",-0.433,0.055
"JOYCE, David",0.263,0.268
"DAVIDSON, Warren",0.685,-0.375
"BALDERSON, Troy",0.417,0.405
"GONZALEZ, Anthony",0.276,0.257
"CHABOT, Steve",0.564,-0.19
"COLE, Tom",0.333,0.363
"MULLIN, Markwayne",0.519,0.276
"HERN, Kevin",0.685,0.039
"HORN, Kendra",-0.169,0.519
"LUCAS, Frank D.",0.363,0.419
"DeFAZIO, Peter Anthony",-0.428,0.002
"SCHRADER, Kurt",-0.185,0.057
"BONAMICI, Suzanne",-0.394,-0.407
"BLUMENAUER, Earl",-0.428,-0.666
"WALDEN, Greg",0.333,-0.011
"THOMPSON, Glenn",0.316,0.398
"KELLY, Mike",0.357,0.451
"MARINO, Thomas A.",0.352,0.477
"PERRY, Scott",0.634,-0.351
"CARTWRIGHT, Matt",-0.365,-0.04
"BOYLE, Brendan Francis",-0.4,0.132
"EVANS, Dwight",-0.459,-0.08
"FITZPATRICK, Brian K.",0.166,-0.178
"SMUCKER, Lloyd K.",0.426,0.255
"LAMB, Conor",-0.131,0.199
"SCANLON, Mary Gay",-0.462,-0.01
"WILD, Susan",-0.323,0.496
"DEAN, Madeleine",-0.481,0.007
"HOULAHAN, Christina",-0.318,0.539
"JOYCE, John",0.529,0.224
"MEUSER, Dan",0.532,0.392
"RESCHENTHALER, Guy",0.373,0.318
"KELLER, Fred",0.499,0.17
"DOYLE, Michael F.",-0.331,0.107
"LANGEVIN, James",-0.375,0.112
"CICILLINE, David N.",-0.389,-0.271
"WILSON, Addison Graves (Joe)",0.536,0.119
"DUNCAN, Jeff",0.735,-0.168
"RICE, Tom",0.593,-0.273
"NORMAN, Ralph",0.798,-0.225
"CUNNINGHAM, Joe",-0.131,0.49
"TIMMONS, William",0.587,0.191
"CLYBURN, James Enos",-0.464,0.254
"JOHNSON, Dustin",0.46,0.151
"COOPER, James Hayes Shofner",-0.163,-0.031
"COHEN, Stephen",-0.4,-0.352
"ROE, David P. (Phil)",0.486,0.024
"FLEISCHMANN, Chuck",0.457,0.306
"DESJARLAIS, Scott",0.586,-0.088
"KUSTOFF, David",0.524,0.339
"BURCHETT, Timothy",0.671,-0.315
"GREEN, Mark",0.68,0.01
"ROSE, John",0.683,0.014
"BURGESS, Michael C.",0.573,-0.206
"CARTER, John R.",0.474,0.598
"GOHMERT, Louie",0.631,-0.348
"GREEN, Al",-0.438,0.305
"McCAUL, Michael T.",0.43,0.092
"CONAWAY, K. Michael",0.593,0.367
"MARCHANT, Kenny",0.6,0.154
"CUELLAR, Henry",-0.227,0.618
"OLSON, Pete",0.548,0.308
"FLORES, Bill",0.572,0.293
"WEBER, Randy",0.712,0.02
"CASTRO, Joaquin",-0.4,-0.033
"WILLIAMS, Roger",0.585,0.12
"VEASEY, Marc",-0.401,0.284
"VELA, Filemon",-0.312,0.407
"RATCLIFFE, John",0.693,0.113
"HURD, William Ballard",0.287,0.228
"BABIN, Brian",0.702,0.093
"ARRINGTON, Jodey Cook",0.644,-0.079
"GONZALEZ, Vicente Jr.",-0.381,0.669
"CLOUD, Michael",0.667,-0.27
"ALLRED, Colin",-0.432,0.604
"CRENSHAW, Daniel",0.398,0.331
"ESCOBAR, Veronica",-0.391,-0.383
"FLETCHER, Elizabeth",-0.408,0.751
"GARCIA, Sylvia",-0.733,0.539
"GOODEN, Lance",0.726,-0.038
"ROY, Charles",0.8,-0.6
"TAYLOR, Nicholas",0.551,-0.132
"WRIGHT, Ron",0.711,-0.09
"DOGGETT, Lloyd Alton, II",-0.402,-0.314
"THORNBERRY, William McClellan (Mac)",0.525,0.313
"JACKSON LEE, Sheila",-0.46,0.124
"BRADY, Kevin Patrick",0.524,0.221
"GRANGER, Kay",0.399,0.237
"JOHNSON, Eddie Bernice",-0.485,0.201
"BISHOP, Robert (Rob)",0.537,0.105
"STEWART, Chris",0.526,0.137
"CURTIS, John R.",0.518,0.009
"McADAMS, Ben",-0.069,0.294
"WELCH, Peter",-0.409,-0.355
"WITTMAN, Robert J.",0.446,-0.008
"CONNOLLY, Gerald E. (Gerry)",-0.306,-0.016
"GRIFFITH, H. Morgan",0.546,-0.429
"BEYER, Donald Sternoff Jr.",-0.385,-0.05
"MCEACHIN, Aston Donald",-0.375,-0.052
"CLINE, Benjamin",0.698,-0.153
"LURIA, Elaine",-0.196,0.408
"RIGGLEMAN, Denver",0.476,-0.018
"SPANBERGER, Abigail",-0.172,0.431
"WEXTON, Jennifer",-0.393,0.405
"SCOTT, Robert C.",-0.45,0.017
"LARSEN, Richard Ray (Rick)",-0.365,0.189
"McMORRIS RODGERS, Cathy",0.425,0.122
"HERRERA BEUTLER, Jaime",0.353,-0.177
"KILMER, Derek",-0.31,-0.014
"HECK, Denny",-0.312,-0.128
"NEWHOUSE, Daniel Milton",0.339,0.252
"JAYAPAL, Pramila",-0.696,-0.321
"SCHRIER, Kim",-0.347,0.509
"SMITH, Adam",-0.285,-0.16
"DelBENE, Suzan K.",-0.283,-0.215
"McKINLEY, David",0.301,0.18
"MOONEY, Alex X.",0.579,-0.277
"MILLER, Carol",0.476,0.316
"SENSENBRENNER, Frank James, Jr.",0.638,-0.579
"MOORE, Gwendolynne S. (Gwen)",-0.528,-0.251
"DUFFY, Sean",0.511,-0.109
"POCAN, Mark",-0.54,-0.544
"GROTHMAN, Glenn",0.604,-0.29
"GALLAGHER, Michael",0.438,-0.051
"STEIL, Bryan",0.424,-0.048
"TIFFANY, Thomas P.",0.629,-0.185
"KIND, Ron",-0.261,-0.079
"CHENEY, Liz",0.492,0.399
"JONES, Gordon Douglas (Doug)",-0.088,0.187
"SHELBY, Richard C.",0.442,0.563
"MURKOWSKI, Lisa",0.211,-0.29
"SULLIVAN, Daniel Scott",0.468,0.058
"SINEMA, Kyrsten",-0.103,0.068
"McSALLY, Martha",0.345,0.027
"KELLY, Mark Edward",-0.186,0.473
"BOOZMAN, John",0.413,0.271
"COTTON, Tom",0.607,0.066
"HARRIS, Kamala Devi",-0.709,-0.105
"FEINSTEIN, Dianne",-0.267,-0.184
"GARDNER, Cory",0.444,-0.029
"BENNET, Michael F.",-0.228,-0.179
"MURPHY, Christopher",-0.27,-0.195
"BLUMENTHAL, Richard",-0.438,-0.168
"CARPER, Thomas Richard",-0.177,-0.223
"COONS, Christopher A.",-0.229,-0.216
"RUBIO, Marco",0.586,-0.262
"SCOTT, Richard Lynn (Rick)",0.651,0.077
"ISAKSON, Johnny",0.402,-0.011
"PERDUE, David Alfred, Jr.",0.562,-0.075
"LOEFFLER, Kelly",0.555,-0.203
"HIRONO, Mazie",-0.512,-0.086
"SCHATZ, Brian Emanuel",-0.443,-0.108
"CRAPO, Michael Dean",0.503,0.287
"RISCH, James",0.589,0.506
"DURBIN, Richard Joseph",-0.348,-0.306
"DUCKWORTH, Tammy",-0.335,0.104
"YOUNG, Todd",0.465,-0.026
"BRAUN, Michael",0.8,0.6
"GRASSLEY, Charles Ernest",0.348,-0.069
"ERNST, Joni",0.536,-0.136
"ROBERTS, Charles Patrick (Pat)",0.413,-0.09
"MORAN, Jerry",0.415,0.213
"McCONNELL, Addison Mitchell (Mitch)",0.405,0.023
"PAUL, Rand",0.878,-0.479
"CASSIDY, Bill",0.456,-0.093
"KENNEDY, John Neely",0.606,0.127
"KING, Angus Stanley, Jr.",-0.158,-0.22
"COLLINS, Susan Margaret",0.115,-0.537
"CARDIN, Benjamin Louis",-0.319,-0.222
"VAN HOLLEN, Christopher",-0.391,-0.208
"MARKEY, Edward John",-0.513,-0.458
"WARREN, Elizabeth",-0.757,-0.299
"PETERS, Gary C.",-0.246,-0.185
"STABENOW, Deborah Ann",-0.342,-0.013
"KLOBUCHAR, Amy",-0.284,-0.375
"SMITH, Tina",-0.398,-0.059
"WICKER, Roger F.",0.379,0.36
"HYDE-SMITH, Cindy",0.411,0.347
"BLUNT, Roy",0.415,0.258
"HAWLEY, Joshua David",0.71,-0.302
"DAINES, Steve",0.569,-0.093
"TESTER, Jon",-0.215,0.146
"FISCHER, Debra (Deb)",0.452,0.284
"SASSE, Benjamin Eric",0.716,-0.199
"ROSEN, Jacklyn Sheryl",-0.285,0.284
"CORTEZ MASTO, Catherine Marie",-0.366,0.326
"SHAHEEN, Jeanne",-0.237,-0.145
"HASSAN, Margaret (Maggie)",-0.23,-0.027
"MENENDEZ, Robert",-0.367,-0.123
"BOOKER, Cory Anthony",-0.591,-0.267
"HEINRICH, Martin",-0.33,-0.019
"UDALL, Thomas (Tom)",-0.453,0.161
"SCHUMER, Charles Ellis (Chuck)",-0.359,-0.405
"GILLIBRAND, Kirsten",-0.473,-0.421
"BURR, Richard M.",0.441,-0.053
"TILLIS, Thomas Roland (Thom)",0.427,0.04
"CRAMER, Kevin",0.391,0.319
"HOEVEN, John",0.358,0.362
"PORTMAN, Robert Jones (Rob)",0.37,-0.225
"BROWN, Sherrod",-0.428,-0.11
"INHOFE, James Mountain",0.555,0.048
"LANKFORD, James",0.594,0.168
"WYDEN, Ronald Lee",-0.33,-0.476
"MERKLEY, Jeff",-0.44,-0.739
"TOOMEY, Patrick Joseph",0.636,-0.31
"CASEY, Robert (Bob), Jr.",-0.314,0.191
"REED, John F. (Jack)",-0.367,-0.173
"WHITEHOUSE, Sheldon",-0.355,-0.082
"SCOTT, Tim",0.627,-0.019
"GRAHAM, Lindsey O.",0.395,-0.187
"THUNE, John",0.419,0.151
"ROUNDS, Marion Michael (Mike)",0.388,0.115
"BLACKBURN, Marsha",0.623,0.142
"ALEXANDER, Lamar",0.324,-0.176
"CORNYN, John",0.481,-0.044
"CRUZ, Rafael Edward (Ted)",0.839,-0.271
"LEE, Mike",0.902,-0.431
"ROMNEY, Willard Mitt (Mitt)",0.299,0.381
"LEAHY, Patrick Joseph",-0.36,-0.122
"SANDERS, Bernard",-0.531,-0.397
"WARNER, Mark",-0.203,-0.038
"KAINE, Timothy Michael (Tim)",-0.243,-0.054
"CANTWELL, Maria E.",-0.304,-0.419
"MURRAY, Patty",-0.352,-0.311
"CAPITO, Shelley Moore",0.268,0.071
"MANCHIN, Joe, III",-0.057,0.44
"BALDWIN, Tammy",-0.492,-0.14
"JOHNSON, Ron",0.601,-0.254
"BARRASSO, John A.",0.544,0.241
"ENZI, Michael B.",0.545,0.199
