,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label,random
1331,ZrPdSn,0.931,0,Half Heusler (F-43m),24,Half Heusler,-0.48
1896,CoNiSb,0.929,0.190441103,AsHgK (P63/mmc),24,Common non-HH Prototype,0.29
1219,AuInSn,0.924,0.001688247,phase_separating,18,Phase Separating,-0.63
794,NpNiSn,0.923,0.142513915,MgSrSi (Pnma),17,Common non-HH Prototype,-0.66
177,LiBaAs,0.92,0.156652472,[LiBaSi],16,Other non-HH Prototype,-0.63
430,AuInAs,0.918,0.160255365,phase_separating,19,Phase Separating,-0.04
222,ZrZnGe,0.916,0.436294104,MoNiP (P-62m),20,Common non-HH Prototype,-0.79
1888,MnFeB,0.91,0.250976282,[CuAl2],18,Other non-HH Prototype,-0.7
705,TmZnGa,0.91,0.178858888,AsHgK (P63/mmc),30,Common non-HH Prototype,0.09
1091,MoReB,0.907,0.691996933,[CuAl2],16,Other non-HH Prototype,-0.71
1922,SmMnGe,0.905,0.413118067,MgSrSi (Pnma),19,Common non-HH Prototype,0.02
965,NbNiSi,0.896,0.364479068,MgSrSi (Pnma),19,Common non-HH Prototype,-0.04
955,HfCoAl,0.894,0.295738039,[MgZn2],16,Other non-HH Prototype,-0.34
1223,GdPdBi,0.887,0,Half Heusler (F-43m),24,Half Heusler,-0.11
1536,PdBiTe,0.886,0.077805451,[NiSbS],27,Other non-HH Prototype,0.56
418,DyPtAs,0.885,0.083190748,[YPtAs],27,Other non-HH Prototype,-0.96
1467,UNiB,0.879,0.524715923,phase_separating,16,Phase Separating,-0.9
1577,PrNiB,0.879,0.703917194,phase_separating,18,Phase Separating,0.83
551,ScPtSi,0.868,0.238815999,MgSrSi (Pnma),17,Common non-HH Prototype,-0.28
1899,UOsAl,0.866,0.377916242,[Laves(4H)#MgNi2],14,Other non-HH Prototype,0.28
1785,SmPtAl,0.857,0.304769397,MgSrSi (Pnma),21,Common non-HH Prototype,-0.33
105,TmIrGe,0.855,0.316590923,MgSrSi (Pnma),28,Common non-HH Prototype,0.81
466,NbCuGa,0.85,0.356353766,[MgZn2],19,Other non-HH Prototype,-0.42
1876,PrRhBi,0.849,0.044424398,MgSrSi (Pnma),19,Common non-HH Prototype,-0.84
979,CeIrPt,0.842,0.699617312,[Laves(cub)#MgCu2],22,Other non-HH Prototype,-0.35
254,UIrGa,0.84,0.300103508,MoNiP (P-62m),15,Common non-HH Prototype,0.46
416,LuPtZn,0.82,0.159139628,MgSrSi (Pnma),25,Common non-HH Prototype,0.16
1840,YSnGe,0.82,0.407898945,[MoAlB],11,Other non-HH Prototype,-0.38
541,ErPdZn,0.819,0.17978299,MoNiP (P-62m),42,Common non-HH Prototype,0.93
365,PrPtGa,0.807,0.253188539,MgSrSi (Pnma),18,Common non-HH Prototype,-0.34
394,CeAlGa,0.804,0.255594777,[AlB2],9,Other non-HH Prototype,-0.28
1,TiGaAs,0.802,0.574485181,phase_separating,12,Phase Separating,0.63
1041,SiGeAs,0.802,0.470688484,phase_separating,13,Phase Separating,0.55
1083,YbZnPb,0.799,0.03802313,LiGaGe (P63mc),32,Common non-HH Prototype,-0.46
1229,LuNiIn,0.788,0.146813099,MoNiP (P-62m),16,Common non-HH Prototype,0.43
1364,DyPtGa,0.781,0.230253897,MgSrSi (Pnma),25,Common non-HH Prototype,0.45
587,TbPdIn,0.76,0.169317922,MoNiP (P-62m),30,Common non-HH Prototype,-0.25
1546,TbRhSn,0.759,0.1722015,MoNiP (P-62m),24,Common non-HH Prototype,0.21
536,ScCoSi,0.751,0.390134162,MgSrSi (Pnma),16,Common non-HH Prototype,-0.73
1456,DyIrSi,0.751,0.498256823,MgSrSi (Pnma),25,Common non-HH Prototype,-0.53
712,HoMnSi,0.748,0.422822197,MgSrSi (Pnma),24,Common non-HH Prototype,0.43
245,DyBiTe,0.739,0.47888881,phase_separating,23,Phase Separating,-0.86
1503,SrCaPb,0.738,0.087979948,MgSrSi (Pnma),20,Common non-HH Prototype,0.67
1773,YbPtGe,0.732,0.299607314,MgSrSi (Pnma),30,Common non-HH Prototype,-0.59
1177,ZrCrW,0.732,0.727117524,[Laves(cub)#MgCu2],16,Other non-HH Prototype,-0.4
1460,ZrRuGe,0.728,0.434214772,[TiFeSi],16,Other non-HH Prototype,0.72
833,SrAuCd,0.725,0.102993218,MgSrSi (Pnma),31,Common non-HH Prototype,-0.12
69,TmRhGa,0.723,0.221276498,MgSrSi (Pnma),27,Common non-HH Prototype,-0.29
64,ZrFeB,0.721,0.508177962,phase_separating,15,Phase Separating,0.63
1242,TbPdBi,0.718,0,Half Heusler (F-43m),32,Half Heusler,-0.16
807,NiSnTe,0.717,0.172129669,phase_separating,20,Phase Separating,0.75
1174,LaBiTe,0.699,0.579344532,phase_separating,14,Phase Separating,-0.27
484,InSbTe,0.692,0.399040266,phase_separating,14,Phase Separating,-0.52
1825,EuMgPb,0.689,0.101777353,MgSrSi (Pnma),21,Common non-HH Prototype,0.57
1205,SrCuSb,0.682,0.163875072,AsHgK (P63/mmc),24,Common non-HH Prototype,0.89
1069,ErPtZn,0.675,0.16707729,MgSrSi (Pnma),36,Common non-HH Prototype,-0.49
1285,DyZnGa,0.671,0.172542697,AsHgK (P63/mmc),27,Common non-HH Prototype,-0.68
437,GdRhBi,0.665,0.009467058,MoNiP (P-62m),17,Common non-HH Prototype,0.4
745,TiMnAs,0.662,0.365895089,MoNiP (P-62m),16,Common non-HH Prototype,-0.72
795,FeSiGe,0.655,0.29336977,[FeSi2(oS48)],16,Other non-HH Prototype,0.13
1604,LaPtGa,0.647,0.225276833,MgSrSi (Pnma),16,Common non-HH Prototype,0.78
407,YReSi,0.636,0.709113424,phase_separating,14,Phase Separating,-0.37
1688,EuAgGa,0.635,0.277702953,[KHg2],23,Other non-HH Prototype,-0.19
57,SmCuCd,0.633,0.152249258,MoNiP (P-62m),31,Common non-HH Prototype,0.5
102,NdPdAl,0.632,0.281581678,MoNiP (P-62m),25,Common non-HH Prototype,0.69
1623,ZrOsAs,0.627,0.444263226,MoNiP (P-62m),17,Common non-HH Prototype,0.09
1580,CaAgPb,0.618,0.072207653,[LiCaSn],23,Other non-HH Prototype,-0.2
1589,MoWSi,0.6,0.775522497,phase_separating,16,Phase Separating,0.39
295,ZrMoW,0.599,0.822266393,[Laves(cub)#MgCu2],16,Other non-HH Prototype,-0.62
133,PuCoAl,0.599,0.361158522,MoNiP (P-62m),20,Common non-HH Prototype,0.75
644,TiNbGe,0.597,0.428821233,phase_separating,13,Phase Separating,-0.97
875,HfMnGe,0.595,0.455125634,MoNiP (P-62m),15,Common non-HH Prototype,0.89
316,ZrTaSi,0.592,0.571729135,[MgZn2],13,Other non-HH Prototype,0.42
919,YRuSi,0.591,0.566605973,MgSrSi (Pnma),15,Common non-HH Prototype,-0.62
1871,DyPtSb,0.586,0,Half Heusler (F-43m),27,Half Heusler,0.72
1862,TmAuSn,0.58,0,Half Heusler (F-43m),30,Half Heusler,0.78
296,YbIrSb,0.58,0.200373221,MgSrSi (Pnma),30,Common non-HH Prototype,-0.34
639,GeBiTe,0.579,0.364768416,phase_separating,15,Phase Separating,0.99
610,WReB,0.578,0.713743816,[CuAl2],16,Other non-HH Prototype,-0.08
1929,GdScGe,0.568,0.194281088,[La2Sb],10,Other non-HH Prototype,-0.08
1010,DyZnAl,0.556,0.1341751,AsHgK (P63/mmc),27,Common non-HH Prototype,0.24
206,HoRhSi,0.556,0.431322199,MgSrSi (Pnma),26,Common non-HH Prototype,-0.57
1282,NdNiBi,0.551,0,Half Heusler (F-43m),21,Half Heusler,0.08
548,CdHgPb,0.54,0.101375788,phase_separating,28,Phase Separating,0.31
155,TbCuSn,0.528,0.001784068,AsHgK (P63/mmc),26,Common non-HH Prototype,0.17
1200,ErCdIn,0.526571429,0.130237231,[CaIn2],29,Other non-HH Prototype,0.71
434,ZrMnFe,0.525,0.597078964,[MgZn2],19,Other non-HH Prototype,-0.62
1745,CeAuIn,0.524,0.100643086,MoNiP (P-62m),17,Common non-HH Prototype,0.02
1801,GdMgPd,0.516,0.158566788,MoNiP (P-62m),27,Common non-HH Prototype,0.71
339,ErIrGe,0.514,0.325644632,MgSrSi (Pnma),27,Common non-HH Prototype,-0.95
941,ErPtSn,0.47,0.046566518,MoNiP (P-62m),28,Common non-HH Prototype,0.4
244,SrPtSb,0.467,0.24703455,[LiBaSi],23,Other non-HH Prototype,1
469,LuRhPb,0.459,0.12853993,[InMg2],16,Other non-HH Prototype,0.09
289,SrPdIn,0.448,0.182431581,MgSrSi (Pnma),27,Common non-HH Prototype,0.78
781,CdGeAs,0.445,0.291183317,phase_separating,21,Phase Separating,0.11
313,MnCoB,0.441,0.246233817,[CuAl2],19,Other non-HH Prototype,0.28
765,CaNiIn,0.441,0.185502454,MgSrSi (Pnma),21,Common non-HH Prototype,0.54
1262,LiVSb,0.439,0.356540859,Half Heusler (F-43m),13,Half Heusler,-0.42
33,LiBeAs,0.438,0.061468492,[Cu2Sb],12,Other non-HH Prototype,-0.12
1228,NdLiGe,0.437,0.136078693,MoNiP (P-62m),13,Common non-HH Prototype,0.66
605,LaAsTe,0.424,0.597896938,[None],14,Other non-HH Prototype,0.43
677,MoAlGe,0.416,0.64792318,[CrSi2],13,Other non-HH Prototype,-0.14
266,GaPbTe,0.415,0.354719589,phase_separating,13,Phase Separating,-0.05
849,ZrReFe,0.409,0.688208338,[MgZn2],19,Other non-HH Prototype,-0.63
277,BaPdGe,0.405,0.555288396,[ZrSO],28,Other non-HH Prototype,0.25
866,DyFeAl,0.404,0.398789416,[MgZn2],23,Other non-HH Prototype,0.34
752,NdIrGa,0.403,0.284922564,MgSrSi (Pnma),18,Common non-HH Prototype,0.09
1650,NaAuGe,0.401,0.249104522,[AuEuGe],22,Other non-HH Prototype,-0.69
1805,GdNiPb,0.394,0.038739231,MgSrSi (Pnma),17,Common non-HH Prototype,-0.85
227,FeCuSi,0.392,0.377441588,phase_separating,23,Phase Separating,-0.38
876,UPtSi,0.39,0.29934203,[KHg2],17,Other non-HH Prototype,-0.26
851,PrRhSb,0.379,0.132706748,MgSrSi (Pnma),19,Common non-HH Prototype,0.33
1389,CeRhPt,0.372,0.47260534,[Laves(cub)#MgCu2],22,Other non-HH Prototype,-0.03
733,TbPtIn,0.366,0.144925072,MoNiP (P-62m),24,Common non-HH Prototype,-0.16
1570,YAlGe,0.366,0.44078171,[YAlGe],10,Other non-HH Prototype,0.71
1687,LaRhZn,0.364,0.191893576,[LaNiAl],24,Other non-HH Prototype,-0.87
204,DyPtSi,0.356,0.337404766,MgSrSi (Pnma),26,Common non-HH Prototype,0.04
253,TmRhGe,0.355,0.298566102,MgSrSi (Pnma),28,Common non-HH Prototype,0.89
1402,ErPtBi,0.351,0,Half Heusler (F-43m),29,Half Heusler,-0.65
1621,ZrPtSn,0.349,0,Half Heusler (F-43m),18,Half Heusler,-0.57
740,LiMnSb,0.349,0.193178072,[LiMnAs],15,Other non-HH Prototype,0.52
1318,SmPtPb,0.343,0.040672354,MoNiP (P-62m),22,Common non-HH Prototype,0.5
601,BeTiAl,0.341,0.261280662,phase_separating,11,Phase Separating,-0.72
1525,SrHgSn,0.34,0.064215615,LiGaGe (P63mc),24,Common non-HH Prototype,-0.03
270,TaVCu,0.34,0.767544464,[Laves(cub)#MgCu2],21,Other non-HH Prototype,0.26
1240,AgAlGe,0.332,0.143577467,phase_separating,18,Phase Separating,0.7
293,YbPdIn,0.332,0.133298919,MoNiP (P-62m),35,Common non-HH Prototype,0.44
927,TaFeNi,0.332,0.686587812,[Laves(cub)#MgCu2],23,Other non-HH Prototype,0.75
213,ReAlSi,0.331,0.549897463,phase_separating,14,Phase Separating,0.69
521,ScVB,0.33,0.578533744,phase_separating,11,Phase Separating,-0.27
284,TmCoSn,0.323,0.128539864,MgSrSi (Pnma),28,Common non-HH Prototype,-0.58
1084,MgYAg,0.315,0.212738512,MoNiP (P-62m),22,Common non-HH Prototype,-0.22
1319,ZrCrNi,0.312,0.552987117,[MgZn2],20,Other non-HH Prototype,0.85
836,CeCoCu,0.31,0.404882071,phase_separating,23,Phase Separating,-0.52
1884,VNiAl,0.309,0.250564389,phase_separating,18,Phase Separating,0.26
91,FeNiAl,0.305,0.379759379,phase_separating,21,Phase Separating,0.08
1717,CeRhBi,0.305,0.053274396,MgSrSi (Pnma),17,Common non-HH Prototype,0.29
514,CeIrSb,0.302,0.18350537,MgSrSi (Pnma),17,Common non-HH Prototype,-0.01
1718,SmNiPb,0.299,0.045784316,MgSrSi (Pnma),22,Common non-HH Prototype,-0.64
687,RbCuTe,0.299,0.41864567,[(Bi7Pb)Pt4],24,Other non-HH Prototype,0.71
356,NdRhGa,0.291,0.251230173,MgSrSi (Pnma),18,Common non-HH Prototype,0.3
1854,SmIrSn,0.29,0.200018937,MoNiP (P-62m),21,Common non-HH Prototype,-0.86
607,HfFeAl,0.284,0.393720245,[MgZn2],15,Other non-HH Prototype,-0.91
1587,ErPtSi,0.282,0.318087405,MgSrSi (Pnma),28,Common non-HH Prototype,-0.84
1261,YPtSb,0.281,0,Half Heusler (F-43m),18,Half Heusler,-0.1
1822,LiMgBi,0.281,0,Half Heusler (F-43m),16,Half Heusler,-0.13
1859,PrNdSb,0.28,0.20147603,[La2Sb],16,Other non-HH Prototype,-0.41
764,HfMoAl,0.277,0.716110082,[MgZn2],13,Other non-HH Prototype,-0.15
1818,PrMgRh,0.275,0.183552662,MgSrSi (Pnma),22,Common non-HH Prototype,0.78
283,ErIrSi,0.274,0.485671266,MgSrSi (Pnma),27,Common non-HH Prototype,0.69
1293,VRuSb,0.265,0.063060767,Half Heusler (F-43m),18,Half Heusler,-0.13
612,LiPtGa,0.263,0.15920926,AsHgK (P63/mmc),16,Common non-HH Prototype,-0.24
1436,CuAgZn,0.262,0.257574127,phase_separating,34,Phase Separating,-0.28
209,AlPbSb,0.261,0.297500304,phase_separating,12,Phase Separating,0.11
1532,LaAuPb,0.254,0,AsHgK (P63/mmc),18,Common non-HH Prototype,0.16
387,YbAuCd,0.253,0.089018905,MgSrSi (Pnma),39,Common non-HH Prototype,0.33
518,ErMnFe,0.251,0.556150787,[Laves(cub)#MgCu2],29,Other non-HH Prototype,-0.84
695,HoIrSn,0.247,0.154004023,MoNiP (P-62m),26,Common non-HH Prototype,-0.58
676,YMnCo,0.247,0.382910723,[Laves(cub)#MgCu2],19,Other non-HH Prototype,-0.65
48,ErScSi,0.247,0.182183689,phase_separating,21,Phase Separating,-0.01
73,HfRuGe,0.246,0.383296348,MoNiP (P-62m),16,Common non-HH Prototype,-0.85
1506,LuIrAl,0.244,0.269838737,MgSrSi (Pnma),15,Common non-HH Prototype,-0.4
90,SmCoB,0.244,0.749852792,phase_separating,20,Phase Separating,-0.2
1618,ZrCrSi,0.244,0.635692716,MgSrSi (Pnma),14,Common non-HH Prototype,-0.98
516,GdNiSi,0.242,0.297706733,MgSrSi (Pnma),17,Common non-HH Prototype,-0.4
1251,MgNiBi,0.242,0,Half Heusler (F-43m),23,Half Heusler,0.78
1303,LaPdBi,0.242,0,Half Heusler (F-43m),24,Half Heusler,-0.52
741,ZrSnTe,0.241,0.572637697,[PrOI],14,Other non-HH Prototype,0.07
873,NdRhSb,0.241,0.121853798,MgSrSi (Pnma),20,Common non-HH Prototype,0.48
1640,YZnSn,0.24,0.186796976,[YPtAs],19,Other non-HH Prototype,-0.74
1081,UNiAl,0.233,0.444760651,MoNiP (P-62m),16,Common non-HH Prototype,0.78
776,HfTiSi,0.232,0.465085706,phase_separating,12,Phase Separating,-0.4
660,YbMgPd,0.232,0.15515035,MgSrSi (Pnma),40,Common non-HH Prototype,0.95
1508,ZnPbTe,0.227,0.390051267,phase_separating,22,Phase Separating,0.33
1164,TbPdAs,0.226,0.099301155,MgSrSi (Pnma),32,Common non-HH Prototype,-0.49
637,BaCuBi,0.226,0.190247144,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.05
441,TbRhZn,0.225,0.216089699,MgSrSi (Pnma),32,Common non-HH Prototype,-0.26
1858,HoZnSi,0.224,0.330230329,[AlB2],29,Other non-HH Prototype,0.87
203,ErCoGe,0.222,0.313305977,MgSrSi (Pnma),27,Common non-HH Prototype,0.85
192,ZrPdGa,0.222,0.198082203,[LaNiAl],23,Other non-HH Prototype,-0.14
477,GdLiGe,0.221,0.149172208,MoNiP (P-62m),10,Common non-HH Prototype,-0.82
168,UPdGa,0.221,0.363064167,MoNiP (P-62m),22,Common non-HH Prototype,0.31
197,GdMgSn,0.22,0.217796193,[La2Sb],15,Other non-HH Prototype,-0.83
1104,HoPdTl,0.219,0.145678086,[InMg2],32,Other non-HH Prototype,0.89
984,CrWB,0.217,0.583485323,[CuAl2],15,Other non-HH Prototype,0.61
208,SmFeCu,0.216,0.536916087,[MgZn2],27,Other non-HH Prototype,0.87
895,YCoGe,0.214,0.332734557,MgSrSi (Pnma),16,Common non-HH Prototype,-0.27
1170,TmPdBi,0.213,0,Half Heusler (F-43m),36,Half Heusler,-0.31
1592,TmPdSb,0.213,0,Half Heusler (F-43m),36,Half Heusler,0.53
1891,YbPtSb,0.213,0.085996244,Half Heusler (F-43m),31,Half Heusler,0.1
1486,LuPdSn,0.212,0.048720214,MoNiP (P-62m),23,Common non-HH Prototype,0.56
746,DyRhSb,0.211,0.058195017,MgSrSi (Pnma),26,Common non-HH Prototype,0.35
1647,NbPdAl,0.21,0.299381245,phase_separating,24,Phase Separating,-0.38
1165,YSiSb,0.201,0.642747419,phase_separating,12,Phase Separating,-0.28
726,CdTlTe,0.199,0.1949524,phase_separating,21,Phase Separating,0.12
945,PrAgSn,0.199,0.06791808,LiGaGe (P63mc),20,Common non-HH Prototype,0.26
452,TmFeCu,0.197,0.529652395,[Laves(cub)#MgCu2],34,Other non-HH Prototype,0.8
963,HoMgIn,0.197,0.196604991,MoNiP (P-62m),24,Common non-HH Prototype,-0.07
997,VNiSi,0.195,0.261459707,MgSrSi (Pnma),19,Common non-HH Prototype,0.72
1655,SrAuIn,0.194,0.15123303,MgSrSi (Pnma),22,Common non-HH Prototype,-0.31
1295,ErPdIn,0.193,0.15875017,MoNiP (P-62m),33,Common non-HH Prototype,0.02
1348,ErCoNi,0.192,0.486507142,[Laves(cub)#MgCu2],33,Other non-HH Prototype,0.82
679,SmIrGe,0.191,0.364047513,MgSrSi (Pnma),21,Common non-HH Prototype,0.06
982,TiCuSn,0.191,0.104859597,LiGaGe (P63mc),19,Common non-HH Prototype,0.82
1267,CrPbSb,0.19,0.294836708,phase_separating,15,Phase Separating,0.26
861,IrRhPd,0.19,0.633775363,phase_separating,34,Phase Separating,-0.68
366,CrNiPd,0.189,0.507808949,phase_separating,32,Phase Separating,0.38
1353,LuPtGa,0.188,0.194769127,MgSrSi (Pnma),16,Common non-HH Prototype,-0.92
1913,MgYTl,0.183,0.153770297,MoNiP (P-62m),14,Common non-HH Prototype,-0.9
1244,ErPtGe,0.181,0.190618405,MgSrSi (Pnma),28,Common non-HH Prototype,-0.46
1118,SmNiZn,0.18,0.178835141,MoNiP (P-62m),30,Common non-HH Prototype,0.02
1213,NdCuIn,0.18,0.08410058,MoNiP (P-62m),20,Common non-HH Prototype,0.58
640,GdIrGe,0.179,0.352405896,MgSrSi (Pnma),16,Common non-HH Prototype,0.11
1375,LaCuIn,0.177,0.083583973,MoNiP (P-62m),17,Common non-HH Prototype,-0.67
1593,HfPtSn,0.177,0,Half Heusler (F-43m),18,Half Heusler,0.56
846,TiRuIr,0.177,0.656016253,phase_separating,21,Phase Separating,-0.3
1276,LiSrSb,0.175,0.156773234,MgSrSi (Pnma),16,Common non-HH Prototype,0.77
709,CdBiTe,0.174,0.449494117,phase_separating,23,Phase Separating,0.39
51,TiNbAl,0.174,0.670567224,phase_separating,12,Phase Separating,-0.77
1036,CePdGa,0.172,0.238348325,MgSrSi (Pnma),22,Common non-HH Prototype,-0.82
326,GdPtGe,0.171,0.231676547,MgSrSi (Pnma),17,Common non-HH Prototype,0.71
1722,ErPtSb,0.171,0,Half Heusler (F-43m),29,Half Heusler,-0.31
1333,NdLiSn,0.17,0.166461184,Half Heusler (F-43m),13,Half Heusler,-0.19
1660,ZrAuGa,0.17,0.066544655,[ScAuSi],18,Other non-HH Prototype,-0.6
1007,ScCoSn,0.169,0.107052747,MgSrSi (Pnma),16,Common non-HH Prototype,-0.2
1558,NbZnAl,0.169,0.570914552,[MgZn2],20,Other non-HH Prototype,0.18
127,GdPdPb,0.167,0.051426758,MoNiP (P-62m),23,Common non-HH Prototype,0.22
1053,PrAsTe,0.167,0.607098923,MgSrSi (Pnma),16,Common non-HH Prototype,0.95
144,UCrCo,0.166,0.627068308,[Laves(cub)#MgCu2],18,Other non-HH Prototype,0.23
1082,ZrVMn,0.165,0.590389734,[Laves(4H)#MgNi2],16,Other non-HH Prototype,0.76
218,TaRhSi,0.164,0.206689277,MgSrSi (Pnma),18,Common non-HH Prototype,-0.33
92,ErZnTl,0.164,0.078650092,AsHgK (P63/mmc),29,Common non-HH Prototype,0.8
393,TmPtSi,0.163,0.307341332,MgSrSi (Pnma),29,Common non-HH Prototype,0.76
278,NdPtGa,0.163,0.250502617,MgSrSi (Pnma),19,Common non-HH Prototype,-0.32
1533,TbRhIn,0.162,0.145909973,MoNiP (P-62m),23,Common non-HH Prototype,0.49
785,HoFeAl,0.162,0.421372779,[MgZn2],24,Other non-HH Prototype,0.41
1637,SrAgBi,0.161,0.055185797,AsHgK (P63/mmc),24,Common non-HH Prototype,0.38
259,YAgPb,0.159,0.035617528,MoNiP (P-62m),18,Common non-HH Prototype,0.67
675,RhGaAs,0.159,0.165910209,phase_separating,17,Phase Separating,-0.64
444,YbPtZn,0.158,0.208029793,MgSrSi (Pnma),38,Common non-HH Prototype,-0.74
408,TiVMo,0.157,0.69591469,phase_separating,15,Phase Separating,0.99
1265,TbPdGa,0.157,0.234431399,MgSrSi (Pnma),30,Common non-HH Prototype,1
1848,EuPtIn,0.157,0.147141639,MgSrSi (Pnma),22,Common non-HH Prototype,-0.02
1910,YFeSi,0.157,0.554520483,[PbClF],15,Other non-HH Prototype,-0.35
310,SmFeAl,0.157,0.42531239,[MgZn2],19,Other non-HH Prototype,0.31
1221,YPdSb,0.156,0,Half Heusler (F-43m),24,Half Heusler,-0.02
1080,HfNiGa,0.155,0.197331211,MoNiP (P-62m),17,Common non-HH Prototype,-0.6
1086,AlInSn,0.154,0.078538427,phase_separating,10,Phase Separating,-0.85
589,TmNiPb,0.153,0.033447353,MgSrSi (Pnma),29,Common non-HH Prototype,-0.42
699,UReB,0.153,0.691217147,phase_separating,13,Phase Separating,-0.88
420,YAlSb,0.153,0.667938654,phase_separating,11,Phase Separating,-0.2
1419,BaPtSi,0.153,0.922202315,[ZrSO],22,Other non-HH Prototype,0.2
814,DyPtGe,0.153,0.211548616,MgSrSi (Pnma),26,Common non-HH Prototype,0.34
140,YWB,0.153,0.864498586,phase_separating,12,Phase Separating,-0.05
527,ZrNiSi,0.152,0.110744807,MgSrSi (Pnma),18,Common non-HH Prototype,0.19
