,labels,m1s,m2s,a2s,a1s,qs,odds_1_5,odds_2,sm1s,sm2s,sa1s,sa2s,sqs,mcs,pNG,p_1,p_1_5,p_2
13,GW190413A,33.48103001322826,24.781723363408318,0.0,0.0,0.7522049037523307,0.027569612761485153,0.00552269077983266,5.090068133707971,3.6628857328459543,0.27620098361094503,0.2908733382479782,0.16117821777163044,25.054793699462312,0.0320322815569154,0.9679677184430846,0.026686495163094133,0.005345786393821279
14,GW190413B,46.56493606329192,32.170617426528366,0.00012153376332656141,1.6975287049851406e-06,0.7075534945547653,0.5829107196213485,0.03037919702225966,8.503203743548093,6.190553048730751,0.3311266874595476,0.3215587378498549,0.18534345100804916,33.66489553013445,0.38014860832920583,0.6198513916707942,0.361318020777117,0.018830587552088895
15,GW190421A,42.0983129232735,31.483828684730998,0.0,0.0,0.7628270818327914,0.12983739781132936,0.010241162339376239,6.26665710806579,4.8943079198755735,0.3086526096860831,0.3084178151569618,0.161688736122249,31.679362171909652,0.12286746286342665,0.8771325371365734,0.11388460615746189,0.008982856705964605
16,GW190424A,39.57347087126438,30.274343825134718,0.11552953917040215,0.14041269474697332,0.7804498320591928,0.06905695610128232,0.01371928494866438,5.775117940774416,4.394542802278473,0.34996914466895324,0.3209742602706784,0.14975168424082957,30.124796978107188,0.07644815051508735,0.9235518494849126,0.06377767952713771,0.012670470987949514
17,GW190503A,42.213052237714194,29.36792886575278,0.0,0.0,0.697802695943319,0.07750942076284666,0.0060107676069925,5.537542624167055,4.602557591964738,0.23542982064798876,0.2709490281554618,0.1710929154819829,30.56135247553649,0.07708226322528944,0.9229177367747106,0.0715348191891652,0.005547444036124261
18,GW190512A,22.285674884836816,12.786024245537632,0.0,0.0,0.5725142193064623,0.047133411105236916,0.010307848154621066,3.4150121099743744,1.9853159538920986,0.14306106425715692,0.2074448453782674,0.1717618814073637,14.578575015342075,0.05432099301673088,0.9456790069832691,0.04457307740973464,0.009747915606996373
19,GW190513A,35.379214837413485,16.977022694976135,0.0,0.0,0.4785552642946705,0.07881263517065622,0.004337938242083879,5.840993951562585,3.2502119482271805,0.21186322761189225,0.25373967664109154,0.18080533285624856,21.043724811624074,0.0767673262183235,0.9232326737816765,0.07276239989638474,0.004004926321938885
20,GW190514A,38.323229056513064,28.95117679438258,0.10261552205341412,0.09975701152214153,0.7761733583286567,0.0829362926833621,0.011478978343659936,6.985258539341746,5.052132857545714,0.3274753904092316,0.3277555267346814,0.16148757633027472,29.002984336538116,0.08627005993659131,0.9137299400634087,0.07578137374264977,0.01048868619394156
21,GW190517A,36.70494022153861,24.485785050728893,0.7140101189498322,0.8661739873239479,0.6731960648312376,10.11189798153399,2.2585931479418626,6.821747251453304,4.488915947002311,0.14720335902077164,0.26717212589929423,0.18894116055385743,26.020422291869096,0.925208431738498,0.07479156826150202,0.756284708139244,0.16892372359925453
22,GW190519A,59.6028699131517,39.072907795341365,0.560253110195454,0.764668684911201,0.6600687175454367,286.38525235791235,12.12825427831603,9.553989583844885,7.030291118665425,0.2222127063024747,0.28679495644612535,0.18388534035140422,41.86130562262222,0.9966612524048388,0.0033387475951611734,0.9561680725996056,0.04049317980523086
23,GW190521B,42.317484322037586,31.388574804766744,0.0,0.0,0.7417829339204227,0.03641083916689448,0.00844348821876476,4.031547127724269,3.35068731166318,0.22068859220579984,0.24836038912709166,0.13261208860493248,31.65748840182915,0.042928785582856954,0.957071214417143,0.034847766059406975,0.00808101952345003
24,GW190527A,39.288386873254765,20.771036659688793,0.0,0.0,0.5492122226728716,0.1611605447461804,0.009413447781601915,10.799331595585599,6.9640596530969106,0.31780102671617194,0.3223865892448515,0.21446933198096643,24.790893407251517,0.14571824900999064,0.8542817509900094,0.13767651235627076,0.008041736653719904
25,GW190602A,73.15765450598997,40.473212062368106,0.0,0.0,0.5557401082340052,34.573425572237596,4.898502421317916,11.813053282099276,10.844443274061003,0.2956979624632139,0.31035610335848457,0.21358472616890908,46.99968048441577,0.9752915156362397,0.024708484363760275,0.8542569451532622,0.12103457048297558
26,GW190620A,56.9715625944042,33.375215709882056,0.4963321844835186,0.6104190726409044,0.5848644763110772,33.47571246489044,0.5966820457734358,9.277935199436754,7.2174447875940055,0.29506997723011963,0.3104672601723807,0.19056563060046547,37.68384940507562,0.9714875470023597,0.02851245299764027,0.9544746782177093,0.017012868784650928
27,GW190630A,35.72461799753508,21.60844237791472,0.0,0.0,0.6037757917241664,0.027481952659163433,0.002373101948586299,4.404109888444297,3.0385102114997347,0.19659281103494186,0.24021566928365604,0.15752929592750392,24.030242735911195,0.028989569429380357,0.9710104305706196,0.02668526268449567,0.002304306744884759
28,GW190701A,55.450426553172065,40.555998031750995,0.0,0.0,0.7393350188537586,4.579613342272242,0.24343105492283534,6.892841411474942,6.275679174737592,0.28665144500088285,0.3012739574018779,0.16613234787827905,41.223529573305804,0.8282685255702853,0.1717314744297147,0.7864637515864058,0.04180477398387937
29,GW190706A,62.07138423345312,40.19607020438983,0.5672245988246531,0.7084808146576868,0.65951470874605,81.65869010136987,6.482073426600951,11.313344967512585,8.391555452503919,0.2757642976937434,0.3015247445086298,0.19947960953232935,43.38052565543507,0.988781787810397,0.01121821218960295,0.9160645126821972,0.07271727512819615
30,GW190707A,12.979174031564153,7.629897518153871,0.0,0.0,0.584371463044624,0.02181377801081692,9.084063067535962e-06,1.440374352623601,0.844908564396597,0.16665266782621813,0.20714098127480646,0.1366980234854796,8.594951155971586,0.021356795667688444,0.9786432043323116,0.021347905611099588,8.8900565887702e-06
31,GW190708A,17.35539556665342,13.34659190250287,0.0,0.0,0.7701278987855731,0.021871214289295532,0.005978993138913383,1.9921966248678225,1.356824517412004,0.13217747767695287,0.17470097144969401,0.1416291366737549,13.228135278295817,0.027095589636444428,0.9729044103635556,0.02127860084206204,0.005816988794382269
32,GW190720A,13.557113137636485,7.794770224381381,0.5343460067119081,0.43940610895549614,0.5762849638984748,0.16659702937552448,0.0005939181762076343,3.336865178972803,1.459692591472627,0.24156099128023512,0.27898036824749844,0.22010517752347525,8.884988744295882,0.14324215579501132,0.8567578442049887,0.14273331173872952,0.0005088440562818114
33,GW190727A,39.628801045199495,29.452885760038882,2.1356119888746944e-05,2.1841947912012934e-05,0.7538053067122938,0.07348936857444499,0.009648280365447976,5.468517637114468,4.528501437467891,0.32940385408926787,0.31604640501077774,0.16583180809188006,29.71260927284429,0.07675630980167947,0.9232436901983205,0.06784859583301509,0.00890771396866419
34,GW190728A,12.00754130724072,8.165271743901677,0.3840378927687113,0.3344865024309331,0.6815241623293284,0.05229922842587347,3.800954066061929e-05,3.425800408630099,1.4344880095395185,0.22822554131432737,0.2844515224062338,0.22851908677975535,8.590362360473287,0.04973428296395466,0.9502657170360453,0.04969816380054458,3.611916341007411e-05
35,GW190731A,40.10979286499919,28.02949976203037,0.0,0.0,0.7150433235875913,0.06504350795984228,0.007233761075845962,6.676536661202911,5.249074664239012,0.29120231660377005,0.2938948797083918,0.17563539937052486,29.165331699729286,0.06740539142519375,0.9325946085748062,0.060659224846141405,0.006746166579052235
36,GW190803A,37.1225650822707,27.305852068531465,0.0,0.0,0.7505189166591703,0.042984617439530845,0.006247714880652239,5.771391024067492,4.3857325808290435,0.290698125449488,0.29695006327824974,0.16392040139826322,27.70092540769618,0.04692224096003117,0.9530777590399688,0.04096768286245842,0.005954558097572702
37,GW190828A,32.03908994501853,24.5414215825462,0.06463346798929925,0.07067813795586156,0.7722916813042804,0.012620074249286833,0.005055491709238217,3.58091509540762,2.9433310036237437,0.2989101592974767,0.29870458558432705,0.14368101528673863,24.383354052755756,0.017368566712002043,0.982631433287998,0.012400881647777676,0.00496768506422434
38,GW190828B,21.3108676700759,10.895521949341289,0.0,0.0,0.5103514395755431,0.11482935962307922,0.005357675690445591,3.521830831490827,1.8180097486741642,0.14521710022006326,0.2090966890666683,0.1710821944898559,13.115052469039991,0.10729193565419737,0.8927080643458026,0.10250909535918712,0.0047828402950102445
39,GW190910A,41.76438370846083,33.60664782788198,0.0,0.0,0.8137425367100966,0.03204072977568128,0.0076390848543651385,4.260537232647849,3.6642182058163413,0.2648392761815166,0.26996536282680667,0.12460917516351434,32.59912206312452,0.03816541792163752,0.9618345820783625,0.030817881933278148,0.007347535988359442
40,GW190915A,34.969554561649424,23.818732788015048,0.213741967775735,0.23636438774335353,0.6807064804617932,0.11521341807412908,0.005538065050287213,4.836654619569474,3.3422252470091154,0.3410106047090446,0.33522474089207294,0.1607650808018894,25.030901421388414,0.10774153319680368,0.8922584668031963,0.10280014776597808,0.004941385430825635
41,GW190924A,8.301965619865463,5.361417934783195,0.0,0.0,0.6445187767183441,1e-09,1e-09,1.6634532964525532,0.5932267480395395,0.14140324549482666,0.17720676831959067,0.13378164100147108,5.779004073137302,2.000000165480742e-09,0.9999999979999998,9.99999998e-10,9.99999998e-10
42,GW190929A,60.68978258072306,26.844641450282644,0.015078302157150638,0.022558967923709525,0.432964137210366,2.7382734327419542,0.041295428913577105,19.004630048987355,8.196307385541441,0.34871790801410596,0.31992687351168575,0.2359038471311931,34.40072913210953,0.7354195579963639,0.26458044200363606,0.7244935951616801,0.010925962834683963
43,GW190930A,11.453106974502461,8.167717318689277,0.06629205134145064,0.0628229410876488,0.7161980450183517,0.07820233332879353,2.1347825640021104e-05,4.447182951235234,1.441929071057417,0.2782068118221847,0.31179813267095347,0.2249122934497717,8.399554336000044,0.07254865805829924,0.9274513419417008,0.07252885898876175,1.979906953737502e-05
